CustomerID,FirstName,LastName,Email,Phone,Address,City,Country,BirthDate,ProductID,ProductName,Description,Price,TransactionID,CustomerID,ProductID,Quantity,SalesDate,Price
6f05fab2-7267-4bd9-afb7-1e2f34b95223,Carrie,Sandoval,hudsonlauren@example.net,+1-970-301-6585x54864,"7247 Megan Inlet Suite 534
West Anna, IN 31667",New Andrewville,Japan,1949-08-09,1f6a688b-0987-4988-8fb7-38524b0ded2a,wear,"Foreign president material hear wrong. Simply write red hold.
Whole set ball name front measure its. Half face thing across street him road. Turn take foreign.",152,638f8293-794f-486c-b0e8-135845edc8c0,343286c1-7a82-4e17-801e-1655019e4ea1,45d20bde-2292-4e26-91c3-fb1849c8b3ec,4,2023-07-20,662
b5813760-9ffd-4615-bb6b-728e488309b7,Karen,Rasmussen,jennifer35@example.org,644-382-8859x375,"44767 Martin Fields Suite 669
Kellychester, ID 13173",New Kimberly,Palestinian Territory,1994-08-09,11eb13e0-a053-4295-802c-baec9ba30d49,receive,Entire ok blood include owner community what. Fill dog administration recognize rest. Short history consumer them fill mind school than.,580,9aa8f35f-a3e6-4f72-9c09-af501760e6a9,0072013d-2055-421f-aaad-55d8540ddacf,379bc63d-b466-4ac3-b219-aca40185fe0b,7,2023-06-11,292
25d63adb-2be5-4e19-a405-ea32e0942797,Jennifer,Guerra,medinadestiny@example.com,+1-799-859-1033x4702,"27622 Williams Locks Suite 745
Mendozaview, AS 05943",Andersontown,Greece,1971-09-18,45d20bde-2292-4e26-91c3-fb1849c8b3ec,bring,"In knowledge produce live computer knowledge. No her budget coach last leg.
Large reason black. Adult budget impact throughout air. Team position message wife father but total top.",707,5dfb3702-2a5c-454c-89be-5eeb06109d6f,37b93f7d-3a83-446a-944a-6080962fbee2,28a76047-3758-409d-bea6-4d38692dc100,8,2024-04-01,18
6b1e67a9-0488-4250-a4a4-5267e80a6782,James,Chavez,nbrooks@example.com,206-948-4138x590,"8421 Ricky Falls
Kylefort, PA 95772",Wendymouth,Puerto Rico,1976-02-02,70fe281e-72b1-4d59-be5b-e24d16048309,onto,"Data hair let enter tonight north value happen. Reduce threat just free other even. Couple treat institution strong.
Black study traditional cultural sit let. System really fire trouble.",31,de0b8f6e-8688-4ae5-905f-06cd7b08ea7e,a2982c13-5e51-4417-a1f1-4ecf978fa6cc,6f9d205b-92bd-4716-9982-d13c0c2dd6c9,3,2023-06-20,444
2e248a16-da47-45c2-ba4c-43e3ab426b9a,Christine,Johnston,wwilliams@example.com,001-924-349-8885x32534,"Unit 1825 Box 1955
DPO AP 46517",South Mark,Puerto Rico,1964-07-19,c67cd2b9-288b-450a-a4ba-7a3896466ffd,trouble,Prepare radio article. Imagine mention eight agree growth. Truth defense market goal response along television. Return card evening imagine beat your watch citizen.,859,5db1016a-00a1-4320-acae-23985d6c2218,3d123818-04e9-4378-bdf9-dfe604e4d219,45d20bde-2292-4e26-91c3-fb1849c8b3ec,1,2023-09-08,300
9b944dba-8093-4495-9fb8-05252e592e0e,Paul,Chapman,melissabrown@example.net,785.662.2574,"USNV Cunningham
FPO AA 01081",Katherinestad,Netherlands Antilles,1948-07-02,c5f18a24-182d-4964-9db9-bd62877335d1,someone,"Move garden past represent hotel or. Mean long imagine part be. Hit another yes health fish not.
While edge physical trial air into boy. Minute offer suffer owner after price.",672,699973b4-99de-4a94-a6cf-7d449de27a98,6f05fab2-7267-4bd9-afb7-1e2f34b95223,c40eabdd-cf2b-40ea-b698-fa69f81c89dc,5,2023-07-09,470
4eff4bdf-d856-43e0-97d1-4f249fff0b19,Vanessa,Henson,lisalewis@example.net,(691)706-5723,"6878 Bender Fords Apt. 118
Douglasmouth, PA 44741",South Alexandrafort,Argentina,1992-04-28,2014a488-2869-4bbe-aada-3142bce7257c,director,"Occur station media near place political control. Always near fact.
Car possible create.
Yes audience food foot camera size boy. Technology show grow nor contain kid yeah.",485,4e2c2e9b-c378-4a43-9a55-1573e64d70a2,d4fc6fbd-0043-46a5-891b-8ed913e25f5f,a35b839c-b353-425a-bcec-18f68ff93fde,3,2023-08-08,571
eb4ca029-ab76-4899-a78c-5024c3affa2c,Chloe,Dunn,laurieconley@example.net,(498)652-4110,"199 Jennifer Underpass Suite 494
South Jacquelinechester, NH 81048",Ashleychester,Denmark,2005-07-04,86dd82c3-f0cb-4cff-93c1-7804a3dc2334,garden,"Yeah tree term indeed every heart. Training box system each room.
Financial air happen boy. Inside up president anyone. Start officer left recent.",533,a322fd00-3d95-402d-8390-892034cc7602,f01a754e-919a-468a-8f60-b792c3b31314,5a27ac9f-ed4c-44bb-bb32-7df7428c5050,3,2024-03-31,606
e5e8347d-24d3-40bd-b7b9-bdb46b88a5f4,Bryan,Thornton,anita44@example.net,001-342-364-8645x228,"779 Matthew Corner Apt. 716
Davisfort, GA 22585",New Jeremymouth,Timor-Leste,1985-11-15,10dda95d-e340-460e-901f-80a016383e79,how,"Ability tree shoulder check evening. Baby fire future head growth pass player.
Shoulder positive current most.
When sort too social arm. Situation study fine.",476,93c38b39-3d0c-45c0-8ad7-e379aae871f8,fbc9d968-cf96-4873-9253-fea0ef095fb5,5a27ac9f-ed4c-44bb-bb32-7df7428c5050,4,2023-07-01,485
8022f4a0-51ed-46c9-bcab-47a8a099006b,Pamela,Marshall,michael03@example.com,+1-918-952-2220,"306 David Square Apt. 136
East Christina, DC 85748",Rogersbury,Mexico,2005-06-04,18880442-4edc-4620-aeda-ada6da48df21,several,About their technology hand area service. Material old across prepare remain whose.,381,8ab02f8d-5cf1-48f9-a2b8-df85ff69f0ca,b5813760-9ffd-4615-bb6b-728e488309b7,1fa06db3-0a43-4c32-8452-eb62006e5b87,9,2023-06-07,641
